tegenkomen	to encounter
steevast	invariably
verschijnsel	phenomenon
verstrekken	to provide
bevoegd	competent
smaken	to taste
verbranden	to burn
voorgaan	to let go first
illusie	illusion
neiging	tendency
stal	stable
verlichting	light(ing)
wijken	to disappear
hoofdredacteur	editor-in-chief
volhouden	to maintain
wacht	1) watch 2) guard
zakelijk	business
afzonderlijk	separate
ondersteuning	support
toespraak	speech
waarnemen	to observe
goedkeuring	approval
installeren	to install
tijdstip	(point of/in) time
analyseren	to analyse
afwijken	to deviate
gids	guide
laden	to load
opruimen	to tidy up
opstand	rebellion
uitgangspunt	starting point
vocht	1) moisture 2) liquid
bevel	command
bloeien	to bloom
docent	teacher, lecturer
dreiging	threat
gedoe	hassle
lente	spring
minimum	minimum
beloning	reward
compenseren	to compensate
datzelfde	the same
dichter	poet
noot	a) note b) nut
paleis	palace
priester	priest
vluchteling	refugee
bladzijde	page
grootte	size
kaas	cheese
kleuter	infant
mentaliteit	mentality
ondergronds	underground
onwaarschijnlijk	unlikely
uitnodiging	invitation
verwijt	reproach
weerstand	resistance
afmaken	to finish
afval	waste
huwen	to marry
omtrent	about
verwerpen	to reject
interpretatie	interpretation
lading	load
redenering	reasoning
stoer	tough
tram	tram
versieren	to decorate
buurman	neighbour
intelligent	intelligent
kapitaal	capital
lawaai	noise
objectief	objective
rel	riot
zonde	sin
affaire	affair
begrijpelijk	understandable, comprehensible
biologisch	biological
communistisch	communist
dagblad	newspaper
flat	flat
kogel	bullet
schande	shame, disgrace
frustreren	to frustrate
opletten	to pay attention
persoonlijkheid	personality
traject	route
bioscoop	cinema
feestdag	holiday
integreren	to integrate
recept	recipe
rijp	ripe
ronduit	outright, simply
tijdig	timely
archief	archive
gitaar	guitar
put	well
rond	round
concentratie	concentration
dagen	a) to summon b) to dawn
koor	choir
neigen	to incline
oefening	exercise
schitteren	to shine
uithalen	a) to lash out b) to be up to
aanvoeren	to supply, to bring
glazen	glass
progressief	progressive
uitpakken	a) to unpack b) to turn out
vreemdeling	stranger
evengoed	as well
kweken	to cultivate, to grow
middernacht	midnight
munt	coin
opslaan	to store
uitdrukken	to stub out
afhangen	to depend
filmen	to film
overleggen	to consult
versnellen	to accelerate
verwoesten	to destroy
aantasten	to affect
bewerken	to work
doorvoeren	to carry out
feliciteren	to congratulate
fier	proud
handeling	action
weleens	sometimes, ever
zuur	acid
ambassadeur	ambassador
neutraal	neutral
nuchter	a) empty, sober b) plain
vooraan	in front
fataal	fatal
intellectueel	intellectual
maandelijks	monthly
